p,n_events,cutoff,pr_local_large_a,pr_inflicted_large_a,pr_any_large_a,pr_global_large,global_cutoff,tag,N,za,zb,network_model,sf_m,sf_gamma,loss_prob,loss_mode,bulk_only,steps,transient,rep
0.001,292209,1000,0.05851793699013551,0.003815431912382312,0.031237915327727756,0.00846312057465718,2000,regular_N2000_za3_zb3_p0.001,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.003,292338,1000,0.06252188540629613,0.0015474494352150409,0.03192537405332184,0.006451436351073073,2000,regular_N2000_za3_zb3_p0.003,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.01,290425,1000,0.04333058305830583,0.014263544504603924,0.028819833003357147,0.017656882155461823,2000,regular_N2000_za3_zb3_p0.01,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.03,287021,1000,0.031096972264862573,0.023753600089477953,0.027437016803648514,0.02459750331857251,2000,regular_N2000_za3_zb3_p0.03,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.05,285163,1000,0.029886920019836144,0.025389111909289386,0.027647345553244985,0.026419977346289664,2000,regular_N2000_za3_zb3_p0.05,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.075,281800,1000,0.029938972466647742,0.026810051107325383,0.02837473385379702,0.027806955287437898,2000,regular_N2000_za3_zb3_p0.075,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.1,278467,1000,0.03035158691950075,0.02907435856939798,0.02971267690606068,0.02950798478814366,2000,regular_N2000_za3_zb3_p0.1,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
0.2,266632,1000,0.03316945951617255,0.033161656506201384,0.03316556152299799,0.033161811035434606,2000,regular_N2000_za3_zb3_p0.2,2000,3,3,regular,2,2.5,0.01,per-toppling,False,500000,50000,0
