sf_gamma,p,pr_local_large_a,pr_inflicted_large_a,pr_any_large_a,pr_global_large,n_events
2.2,0.0001,0.06701464089489437,0.0,0.0332088282232583,0.02444231384536981,347227
2.2,0.0002,0.06699850145226056,0.0,0.033354420403627016,0.023700246545666735,348887
2.2,0.0003,0.0663692739156821,0.0,0.03267754174262359,0.023762436865879658,350103
2.2,0.0005,0.06606155969729147,0.0024682446028826905,0.03398055652722515,0.024263438025785837,346141
2.2,0.0007,0.06514833262312963,0.0020348737231883894,0.03418109301894471,0.023405081881179676,351695
2.2,0.001,0.06511656883454656,0.003449487279346901,0.03478577328588911,0.02410953477039663,348688
2.2,0.0015,0.06450234407237429,0.004147007529968493,0.034397058115711594,0.0240609721901386,351323
2.2,0.002,0.06322959521924938,0.007112650562837818,0.03534508724645319,0.02460916529650821,348371
2.2,0.003,0.0612430836400875,0.009626056025206053,0.035347756690215844,0.02499316915683175,351326
2.2,0.004,0.06130743308533709,0.012318309660511156,0.036694013126050584,0.025284018149596764,349130
2.2,0.005,0.06091648365817176,0.012835292445598261,0.03667133641725595,0.025531108228484038,352090
2.2,0.0075,0.05743000855560455,0.020968591652769934,0.03927900730172765,0.02720671185288543,349574
2.2,0.01,0.05940158422279898,0.019016838625942913,0.0388953947228676,0.026315624877129885,348444
2.2,0.02,0.05188568704306761,0.028149230194450876,0.03989573579684358,0.030194275042877017,348509
2.2,0.03,0.04775401279828549,0.03162168890354912,0.03967881825387258,0.03172579906264088,348365
2.2,0.05,0.045957357865949414,0.032446929378549025,0.0391950195703059,0.032920967301685755,350504
2.2,0.075,0.04325321203741993,0.034039301305877546,0.038660266838051925,0.034566245794688186,348335
2.2,0.1,0.04125174956910452,0.03451667397980909,0.03790054009596374,0.03513449398206675,345902
2.5,0.0001,0.06942401589234679,0.0,0.03468112310417509,0.02368642480039289,330967
2.5,0.0002,0.06788921137051067,0.00216363650242207,0.035179188448842366,0.024091309331774724,328881
2.5,0.0003,0.07034593080218848,0.0014371538186348889,0.035646693799237836,0.024087454033015418,327557
2.5,0.0005,0.0694852533209071,0.0017732035464070929,0.03602823749041271,0.024056933916720247,327969
2.5,0.0007,0.0700435417346309,0.0014311718602978824,0.03603205783201021,0.024263001542662282,325173
2.5,0.001,0.06740580414476117,0.0019953584891759476,0.03508309962855582,0.023706003736579058,330930
2.5,0.0015,0.06780290251171847,0.003401990565804747,0.03595498403201028,0.024229860749787963,329796
2.5,0.002,0.06708088214588917,0.009036528371317376,0.03811144879290762,0.02542593006856189,326258
2.5,0.003,0.0697326682403906,0.0048807954915796245,0.03742430174960616,0.025049080446800882,324481
2.5,0.004,0.06662388284361845,0.011458261617600624,0.03887419491620267,0.026027719173299817,326176
2.5,0.005,0.0653251830311091,0.012150358924253011,0.038978410958183315,0.025675965039866567,326981
2.5,0.0075,0.06420224988126205,0.014572414748578098,0.03975162183947831,0.026395882953736634,324945
2.5,0.01,0.06194305713368338,0.020266180101670597,0.040988228811362756,0.02848497640641976,323936
2.5,0.02,0.056866321858267746,0.025710004677200193,0.041234829982961484,0.03038070615155098,326290
2.5,0.03,0.05263627642140814,0.030478222248987413,0.04140179004956415,0.03331251309516871,324779
2.5,0.05,0.049217573930575166,0.034591694318195004,0.041808760303803656,0.03627252016063105,322681
2.5,0.075,0.044431985958622376,0.03768917657261065,0.04104798162512732,0.03906661741540433,320976
2.5,0.1,0.043474149740087474,0.03843784252083725,0.04094637995982587,0.03944850110962779,321291
3.0,0.0001,0.08020431386875854,0.0,0.04016474362115059,0.02399721816497524,300662
3.0,0.0002,0.07932321967193887,0.0,0.03946744848555879,0.02453858991446576,303156
3.0,0.0003,0.08001235609278862,0.0014025056302509676,0.04086311125707773,0.02496630275816556,299912
3.0,0.0005,0.07636091374536697,0.0059931224092787195,0.04164669157659478,0.025611829966514697,300408
3.0,0.0007,0.07899345261523569,0.0012138163970762856,0.04000153111487601,0.024493288760746836,302409
3.0,0.001,0.07643221175834396,0.0054363298823520735,0.04058914516650128,0.025865897096405167,304182
3.0,0.0015,0.07755902968490064,0.0033980775079001995,0.040551248898680683,0.02509028001585406,302108
3.0,0.002,0.07606003331092762,0.00648461940344323,0.041299556563999196,0.026135112799848405,302352
3.0,0.003,0.07325631455516946,0.01090529523906799,0.04214483034022019,0.027052178908635947,301581
