sf_gamma,p_star,pr_min
2.2,0.0003,0.03267754174262359
2.5,0.0001,0.03468112310417509
3.0,0.0002,0.03946744848555879
3.5,0.0001,0.042695654782710014
inf,0.0007,0.0478328883932449
